date,EnergyMWh,DemandMW,year,month,dayofyear,dayofweek,weekofyear,quarterofyear,is_weekend,season,Energy_rolling30,DeficitMW
2020-02-09,721.8557219332803,24792.432100660066,2020,2,40,6,6,1,1,Winter,561.9109141822177,24070.576378726786
2020-02-10,849.2810244906242,28411.2184559956,2020,2,41,0,7,1,0,Winter,572.4954265440961,27561.937431504975
2020-02-11,966.5240252088963,28167.37231710671,2020,2,42,1,7,1,0,Winter,586.801049248656,27200.848291897815
2020-02-12,882.6998747022723,27931.631429042904,2020,2,43,2,7,1,0,Winter,606.1642615160353,27048.93155434063
2020-02-13,776.5242789047043,27624.72266089109,2020,2,44,3,7,1,0,Winter,622.8065290515553,26848.198381986385
2020-02-14,99.58799586067202,28154.79453740374,2020,2,45,4,7,1,0,Winter,620.5789513680769,28055.20654154307
2020-02-15,680.123508131232,24864.131297029704,2020,2,46,5,7,1,1,Winter,634.2433267515842,24184.00778889847
2020-02-16,569.9578463789761,24966.538668591857,2020,2,47,6,7,1,1,Winter,645.0951767857346,24396.58082221288
2020-02-17,1004.2273947879362,28495.91373762376,2020,2,48,0,8,1,0,Winter,663.0660720313347,27491.686342835823
2020-02-18,980.6644989662403,28219.24326430143,2020,2,49,1,8,1,0,Winter,671.8285112067937,27238.578765335187
2020-02-19,693.6330725343361,28471.452417216722,2020,2,50,2,8,1,0,Winter,671.4540990381314,27777.819344682386
2020-02-20,923.8545101617921,28358.305596259626,2020,2,51,3,8,1,0,Winter,681.5113053788161,27434.451086097833
2020-02-21,851.0946274575364,28918.82124669967,2020,2,52,4,8,1,0,Winter,690.936513088061,28067.726619242134
2020-02-22,530.1309091129921,25824.35991419142,2020,2,53,5,8,1,1,Winter,699.9601812692546,25294.22900507843
2020-02-23,836.4069008349122,25510.767690044002,2020,2,54,6,8,1,1,Winter,719.4935676826658,24674.36078920909
2020-02-24,219.23176352774402,28907.395615511552,2020,2,55,0,9,1,0,Winter,705.8278967854753,28688.16385198381
2020-02-25,492.80765370566405,29055.07805390539,2020,2,56,1,9,1,0,Winter,708.7087851719041,28562.270400199726
2020-02-26,640.0334886359041,28746.30063668867,2020,2,57,2,9,1,0,Winter,708.587538452957,28106.267148052764
2020-02-27,969.9981223394881,29153.707150165013,2020,2,58,3,9,1,0,Winter,736.261903804205,28183.709027825524
2020-02-28,1024.3907000395202,29010.91218261826,2020,2,59,4,9,1,0,Winter,747.0498757186082,27986.52148257874
2020-02-29,992.1581162697602,25691.590587183717,2020,2,60,5,9,1,1,Winter,758.5984855446625,24699.43247091396
2020-03-01,972.2273934859201,25632.366571232124,2020,3,61,6,9,1,1,Summer,766.4238326162882,24660.139177746205
2020-03-02,1011.6144370474562,29154.85549862486,2020,3,62,0,10,1,0,Summer,796.2466069841186,28143.241061577402
2020-03-03,74.53096028928002,29605.748647139713,2020,3,63,1,10,1,0,Summer,778.9133019929185,29531.217686850432
2020-03-04,787.382891171712,29311.540925467547,2020,3,64,2,10,1,0,Summer,773.1292574893537,28524.158034295833
2020-03-05,1091.961004736448,29184.077883388338,2020,3,65,3,10,1,0,Summer,775.1149052543426,28092.11687865189
2020-03-06,1008.065746214208,29438.537292629262,2020,3,66,4,10,1,0,Summer,779.268920498957,28430.471546415054
2020-03-07,983.5035910603203,26285.11800082508,2020,3,67,5,10,1,1,Summer,786.9214413976609,25301.61440976476
2020-03-08,919.40137068384,26662.543272277224,2020,3,68,6,10,1,1,Summer,785.9913700484738,25743.141901593382
2020-03-09,924.6950835914881,29753.5412860286,2020,3,69,0,11,1,0,Summer,782.6189504088385,28828.846202437115
2020-03-10,842.236712409312,29775.917589658962,2020,3,70,1,11,1,0,Summer,786.6316500913729,28933.68087724965
2020-03-11,878.7179129699523,30148.310192519253,2020,3,71,2,11,1,0,Summer,787.6128797073505,29269.592279549302
2020-03-12,993.0132424428482,29915.82022139714,2020,3,72,3,11,1,0,Summer,788.495853615149,28922.806978954293
2020-03-13,1003.8053652295681,29932.396883938392,2020,3,73,4,11,1,0,Summer,792.5327032993921,28928.591518708825
2020-03-14,981.887626548576,27302.112325357535,2020,3,74,5,11,1,1,Summer,799.3781482208544,26320.22469880896
2020-03-15,473.1265061138881,27132.496884763477,2020,3,75,6,11,1,1,Summer,811.8294318959618,26659.37037864959
2020-03-16,591.8362839385921,30114.88159240924,2020,3,76,0,12,1,0,Summer,808.8865244228738,29523.04530847065
2020-03-17,140.68555319491205,30148.585949669963,2020,3,77,1,12,1,0,Summer,794.5774479834049,30007.900396475052
2020-03-18,599.5782562809601,30405.00058718372,2020,3,78,2,12,1,0,Summer,781.0891433665058,29805.42233090276
2020-03-19,1007.7547357880642,30854.225176292628,2020,3,79,3,12,1,0,Summer,781.9921512605665,29846.470440504563
2020-03-20,844.2435095804162,30720.891465896588,2020,3,80,4,12,1,0,Summer,787.0124991621026,29876.64795631617
2020-03-21,564.5536371921601,26945.64762568757,2020,3,81,5,12,1,1,Summer,775.035803396448,26381.09398849541
2020-03-22,873.5281606782722,27336.927682343234,2020,3,82,6,12,1,1,Summer,775.7835878371393,26463.39952166496
2020-03-23,1003.9905423535681,30977.749127887786,2020,3,83,0,13,1,0,Summer,791.5789089451586,29973.75858553422
2020-03-24,954.7206174696962,30423.67130693069,2020,3,84,1,13,1,0,Summer,795.5226994996513,29468.950689460995
2020-03-25,805.5896802877442,31128.333387788778,2020,3,85,2,13,1,0,Summer,815.0679633916513,30322.743707501035
2020-03-26,516.74961799296,31022.017905940593,2020,3,86,3,13,1,0,Summer,815.8660288678946,30505.268287947634
2020-03-27,338.0815788292801,31098.30596149615,2020,3,87,4,13,1,0,Summer,805.8009652076738,30760.22438266687
2020-03-28,738.3658528825922,28010.5384590209,2020,3,88,5,13,1,1,Summer,798.0798895591105,27272.17260613831
2020-03-29,1047.3154537063683,28514.19928932893,2020,3,89,6,13,1,1,Summer,798.8440480146721,27466.883835622564
2020-03-30,813.8416086440642,31609.705251650164,2020,3,90,0,14,1,0,Summer,792.9001644271489,30795.8636430061
2020-03-31,240.303874532832,31336.780576182617,2020,3,91,1,14,1,0,Summer,768.5027137953792,31096.476701649786
2020-04-01,570.4430540149441,31105.934493399338,2020,4,92,2,14,2,0,Summer,753.797001027629,30535.491439384394
2020-04-02,403.82686493424,31976.939143289328,2020,4,93,3,14,2,0,Summer,764.7735311824609,31573.11227835509
2020-04-03,931.7352999905283,31949.476350385037,2020,4,94,4,14,2,0,Summer,769.5852781430882,31017.74105039451
2020-04-04,711.9410337167042,28650.34538613861,2020,4,95,5,14,2,1,Summer,756.9179457757633,27938.40435242191
2020-04-05,942.1279630424641,29011.37181133113,2020,4,96,6,14,2,1,Summer,754.7200196700385,28069.243848288665
2020-04-06,1026.2068301295362,32254.173534103407,2020,4,97,0,15,2,0,Summer,756.1434609723457,31227.96670397387
2020-04-07,828.447073052544,32007.89773432343,2020,4,98,1,15,2,0,Summer,753.1116510513025,31179.450661270886
2020-04-08,435.2492007515521,32085.587,2020,4,99,2,15,2,0,Summer,736.7967882899713,31650.337799248446
2020-04-09,333.7691739655681,32239.544037678766,2020,4,100,3,15,2,0,Summer,719.8478703418466,31905.7748637132
2020-04-10,997.9588223573762,31628.726668866886,2020,4,101,4,15,2,0,Summer,723.8225673214273,30630.76784650951
2020-04-11,850.2430741136641,29132.727024477448,2020,4,102,5,15,2,1,Summer,719.0635617104546,28282.483950363785
2020-04-12,1065.334800001824,29798.38467354235,2020,4,103,6,15,2,1,Summer,721.1145428695297,28733.049873540527
2020-04-13,1023.166003898016,32834.36908360836,2020,4,104,0,16,2,0,Summer,722.4904887811776,31811.203079710347
2020-04-14,618.309641296512,33179.35660093509,2020,4,105,1,16,2,0,Summer,727.3299266205985,32561.046959638577
2020-04-15,684.7759417656962,32541.267046754674,2020,4,106,2,16,2,0,Summer,730.4279152148354,31856.491104988978
2020-04-16,819.9250910928001,32788.26327255225,2020,4,107,3,16,2,0,Summer,753.0692331447649,31968.33818145945
2020-04-17,740.0540582582402,32937.94585148514,2020,4,108,4,16,2,0,Summer,757.7517598773409,32197.891793226903
2020-04-18,527.946864755904,29780.427474147415,2020,4,109,5,16,2,1,Summer,741.7581641762689,29252.48060939151
2020-04-19,385.772138915328,30021.425851485146,2020,4,110,6,16,2,1,Summer,726.4757851540993,29635.65371256982
2020-04-20,679.9479166465921,33064.07428712871,2020,4,111,0,17,2,0,Summer,730.3222611359138,32384.126370482114
2020-04-21,1013.5154436168962,33159.5560250275,2020,4,112,1,17,2,0,Summer,734.9885039005345,32146.040581410605
2020-04-22,837.9202118633281,33298.8869590209,2020,4,113,2,17,2,0,Summer,729.4528262175265,32460.96674715757
2020-04-23,1011.8612236898882,32982.84975550055,2020,4,114,3,17,2,0,Summer,731.357513091533,31970.988531810664
2020-04-24,995.6532146647683,33842.048440044004,2020,4,115,4,17,2,0,Summer,737.6929642374337,32846.39522537924
2020-04-25,900.3124413201601,30154.351678767875,2020,4,116,5,17,2,1,Summer,750.4783916816738,29254.039237447716
2020-04-26,390.04010126928,30448.545249449944,2020,4,117,6,17,2,1,Summer,752.2103424296736,30058.505148180666
2020-04-27,821.4482491871042,33662.17421974697,2020,4,118,0,18,2,0,Summer,754.9797556398241,32840.72597055987
2020-04-28,990.5548745157122,34424.96156353135,2020,4,119,1,18,2,0,Summer,753.0877363334689,33434.40668901564
2020-04-29,971.4295197224642,33963.59340016502,2020,4,120,2,18,2,0,Summer,758.340666702749,32992.16388044255
2020-04-30,1029.6741301704003,33838.85291061606,2020,4,121,3,18,2,0,Summer,784.6530085573345,32809.178780445654
2020-05-01,992.4421997635202,37023.70762376238,2020,5,122,4,18,2,0,Summer,798.7196467489538,36031.265423998855
2020-05-02,995.2629920006402,33696.510746974694,2020,5,123,5,18,2,1,Summer,818.4341843178338,32701.247754974054
2020-05-03,878.769326853792,33693.29199257425,2020,5,124,6,18,2,1,Summer,816.6686518799426,32814.52266572046
2020-05-04,610.757203186944,37468.508569306934,2020,5,125,0,19,2,0,Summer,813.2958575289505,36857.75136611999
2020-05-05,719.9780694670081,37870.73430528053,2020,5,126,1,19,2,0,Summer,805.8908610764353,37150.75623581352
2020-05-06,972.0533705604482,37917.797486798685,2020,5,127,2,19,2,0,Summer,804.0857457574657,36945.74411623824
2020-05-07,661.5727688465281,37632.22315676568,2020,5,128,3,19,2,0,Summer,798.5232689505985,36970.65038791915
2020-05-08,857.5171801130882,37712.4082120462,2020,5,129,4,19,2,0,Summer,812.5988682626498,36854.89103193311
2020-05-09,733.7393876165761,34325.7927610011,2020,5,130,5,19,2,1,Summer,825.9312087176834,33592.05337338453
2020-05-10,255.611443453344,33980.50480363036,2020,5,131,6,19,2,1,Summer,801.186296087549,33724.89336017702
2020-05-11,874.0986805045441,37910.94247992299,2020,5,132,0,20,2,0,Summer,801.9814829672449,37036.84379941844
2020-05-12,743.0895688170242,38689.469829757974,2020,5,133,1,20,2,0,Summer,791.239975261085,37946.38026094095
2020-05-13,724.682091269664,37934.00829565456,2020,5,134,2,20,2,0,Summer,781.2905115068065,37209.326204384895
2020-05-14,940.7783050205762,38475.48333003301,2020,5,135,3,20,2,0,Summer,792.0394669642753,37534.70502501243
2020-05-15,939.6221897715841,38189.96538063806,2020,5,136,4,20,2,0,Summer,800.5343418978049,37250.34319086648
2020-05-16,737.6569512808322,34618.12225330033,2020,5,137,5,20,2,1,Summer,797.7920705707394,33880.4653020195
2020-05-17,786.3567049071361,35146.58351265126,2020,5,138,6,20,2,1,Summer,799.3354921257026,34360.226807744126
2020-05-18,674.112005119872,38507.16326210121,2020,5,139,0,21,2,0,Summer,804.2076634711682,37833.051256981336
2020-05-19,456.97374522835213,38766.72145819582,2020,5,140,1,21,2,0,Summer,806.5810503482691,38309.747712967466
2020-05-20,711.1506541803841,39088.0413789879,2020,5,141,2,21,2,0,Summer,807.6211415993953,38376.89072480752
2020-05-21,274.1023160631361,38417.181944994496,2020,5,142,3,21,2,0,Summer,782.9740373476034,38143.07962893136
2020-05-22,732.415697963136,38978.5887560506,2020,5,143,4,21,2,0,Summer,779.457220217597,38246.173058087465
2020-05-23,894.6833181770882,35571.13720517052,2020,5,144,5,21,2,1,Summer,775.5512900338368,34676.45388699343
2020-05-24,816.2300885460481,35894.527186743675,2020,5,145,6,21,2,1,Summer,769.570519163213,35078.297098197625
2020-05-25,831.61913540112,38611.331578107805,2020,5,146,0,22,2,0,Summer,767.2807422992449,37779.71244270669
2020-05-26,809.38785917088,39266.25315236523,2020,5,147,1,22,2,0,Summer,781.259000895965,38456.86529319435
2020-05-27,738.7383856849922,39165.86683965897,2020,5,148,2,22,2,0,Summer,778.5020054458945,38427.12845397398
2020-05-28,488.8230777080642,39446.78195847085,2020,5,149,3,22,2,0,Summer,761.777612218973,38957.95888076279
2020-05-29,492.21003266265603,38874.06833030803,2020,5,150,4,22,2,0,Summer,745.8036293169793,38381.858297645376
2020-05-30,877.5543906360001,35723.85819691969,2020,5,151,5,22,2,1,Summer,740.7329713324993,34846.303806283686
2020-05-31,831.2656867352642,35735.05590071507,2020,5,152,6,22,2,1,Summer,735.360420898224,34903.79021397981
2020-06-01,382.1301188115841,41224.1690170517,2020,6,153,0,23,2,0,Summer,714.9226584585888,40842.03889824012
2020-06-02,621.8684406221762,41385.759834158416,2020,6,154,1,23,2,0,Summer,706.3592955842016,40763.89139353624
2020-06-03,562.604963852448,41323.88041254125,2020,6,155,2,23,2,0,Summer,704.7542209397185,40761.2754486888
2020-06-04,427.2604417667521,41838.44075715072,2020,6,156,3,23,2,0,Summer,694.9969666830434,41411.180315383965
2020-06-05,575.5622211440641,41639.268455720565,2020,6,157,4,23,2,0,Summer,681.7805950358305,41063.7062345765
2020-06-06,529.240751785152,37315.21220709571,2020,6,158,5,23,2,1,Summer,677.3695278004512,36785.97145531056
2020-06-07,836.8117633846083,37896.12886468647,2020,6,159,6,23,2,1,Summer,676.6793472428352,37059.317101301865
2020-06-08,791.1411589382401,41790.00452420242,2020,6,160,0,24,2,0,Summer,678.592739620224,40998.86336526418
2020-06-09,504.81950552985614,41446.1802689769,2020,6,161,1,24,2,0,Summer,686.8996750227745,40941.360763447046
2020-06-10,95.026015804896,41277.50377310231,2020,6,162,2,24,2,0,Summer,660.9305861994528,41182.47775729741
2020-06-11,502.4226599789762,41766.47349559956,2020,6,163,3,24,2,0,Summer,652.9083559048512,41264.05083562058
2020-06-12,438.8392841184001,41865.26396424643,2020,6,164,4,24,2,0,Summer,643.3802623331425,41426.424680128024
2020-06-13,559.611020111616,37908.13982453245,2020,6,165,5,24,2,1,Summer,630.6746861695104,37348.528804420836
2020-06-14,546.1153113144961,38250.507817106714,2020,6,166,6,24,2,1,Summer,617.5577902209409,37704.39250579222
2020-06-15,272.70873838454406,41641.59171864686,2020,6,167,0,25,2,0,Summer,602.0595164577313,41368.882980262315
2020-06-16,763.5202262645761,41701.172679592964,2020,6,168,1,25,2,0,Summer,601.2983005029794,40937.65245332839
2020-06-17,785.76143670288,41934.204958470844,2020,6,169,2,25,2,0,Summer,605.0199482224128,41148.443521767964
2020-06-18,537.5733737964481,41799.20934515952,2020,6,170,3,25,2,0,Summer,607.7066025080161,41261.63597136307
2020-06-19,729.5411390034242,42143.306790429044,2020,6,171,4,25,2,0,Summer,608.3196186687841,41413.76565142562
2020-06-20,401.10288765465606,38241.585567656766,2020,6,172,5,25,2,1,Summer,612.552971055168,37840.48268000211
2020-06-21,436.61271437942406,38221.80192271727,2020,6,173,6,25,2,1,Summer,602.6928716023776,37785.18920833785
2020-06-22,730.27147758048,42295.51751512651,2020,6,174,0,26,2,0,Summer,597.2124769158241,41565.24603754603
2020-06-23,703.920816406368,41984.65006353136,2020,6,175,1,26,2,0,Summer,593.4688345111681,41280.72924712499
2020-06-24,619.7614299486721,41668.92817876787,2020,6,176,2,26,2,0,Summer,586.4069109960864,41049.166748819196
2020-06-25,597.419396012736,41507.19883663366,2020,6,177,3,26,2,0,Summer,579.3412955574818,40909.77944062092
2020-06-26,346.69044153849603,42372.193369086905,2020,6,178,4,26,2,0,Summer,566.2730307525985,42025.50292754841
2020-06-27,358.8705649045441,38350.080248624865,2020,6,179,5,26,2,1,Summer,561.9412803258145,37991.20968372032
2020-06-28,584.8924467862081,38439.444032728265,2020,6,180,6,26,2,1,Summer,565.0306941299328,37854.551585942056
2020-06-29,203.07081127766403,42216.28654235423,2020,6,181,0,27,2,0,Summer,542.5479081513217,42013.21573107657
2020-06-30,180.68241770409603,42321.54592794279,2020,6,182,1,27,2,0,Summer,520.8617991836161,42140.86351023869
2020-07-01,59.47714938528001,42867.77514466446,2020,7,183,2,27,3,0,Monsoon,510.10670020273926,42808.29799527918
2020-07-02,93.71513605132802,41974.046847084704,2020,7,184,3,27,3,0,Monsoon,492.5015900503777,41880.331711033374
2020-07-03,101.436368555808,42511.38954317931,2020,7,185,4,27,3,0,Monsoon,477.1293035404897,42409.95317462351
2020-07-04,449.29390525747215,38398.15277777778,2020,7,186,5,27,3,1,Monsoon,477.8637523235137,37948.85887252031
2020-07-05,124.84458701510403,38271.369432068204,2020,7,187,6,27,3,1,Monsoon,462.8398311858817,38146.5248450531
2020-07-06,339.15151046620804,42409.85746177117,2020,7,188,0,28,3,0,Monsoon,456.50352314191684,42070.70595130496
2020-07-07,214.28836216761601,41947.02209488449,2020,7,189,1,28,3,0,Monsoon,435.75274310135046,41732.73373271687
2020-07-08,102.70481006966402,41940.78081298129,2020,7,190,2,28,3,0,Monsoon,412.80486480573126,41838.07600291163
2020-07-09,159.57091843545604,42214.52338338834,2020,7,191,3,28,3,0,Monsoon,401.29657856925127,42054.95246495288
2020-07-10,245.34435227702406,42250.78456463146,2020,7,192,4,28,3,0,Monsoon,406.3071897849888,42005.440212354435
2020-07-11,372.1281141346561,38514.435064631456,2020,7,193,5,28,3,1,Monsoon,401.9640382568449,38142.3069504968
2020-07-12,728.17135113888,38229.360040979096,2020,7,194,6,28,3,1,Monsoon,411.6084404908608,37501.188689840215
2020-07-13,340.1347356380161,41850.026869086905,2020,7,195,0,29,3,0,Monsoon,404.2925643417409,41509.89213344889
2020-07-14,136.94663099145603,41887.495889989,2020,7,196,1,29,3,0,Monsoon,390.6536083309729,41750.54925899754
2020-07-15,294.79230862646403,42188.480176842684,2020,7,197,2,29,3,0,Monsoon,391.3897273390368,41893.68786821622
2020-07-16,250.91108162208002,42264.40007728273,2020,7,198,3,29,3,0,Monsoon,374.30275585095364,42013.48899566065
2020-07-17,204.74550961603202,42216.69723954896,2020,7,199,4,29,3,0,Monsoon,354.93555828139205,42011.95172993292
2020-07-18,82.748641770432,38690.41076650165,2020,7,200,5,29,3,1,Monsoon,339.7747338805249,38607.662124731214
2020-07-19,0.06248094019200001,38112.662261001096,2020,7,201,6,29,3,1,Monsoon,315.4587786117505,38112.599780060904
2020-07-20,84.739056212448,41825.64418509351,2020,7,202,0,30,3,0,Monsoon,304.91331756367686,41740.90512888106
2020-07-21,16.705329423552,42430.14274889988,2020,7,203,1,30,3,0,Monsoon,290.91640473181445,42413.43741947633
2020-07-22,2.3146704789120007,42041.55182893289,2020,7,204,2,30,3,0,Monsoon,266.65117782842884,42039.23715845398
2020-07-23,17.852381886240003,42138.90221809681,2020,7,205,3,30,3,0,Monsoon,243.78223001109123,42121.04983621057
2020-07-24,145.54451378649603,41904.826166666666,2020,7,206,4,30,3,0,Monsoon,227.97499947235204,41759.28165288017
2020-07-25,43.644200285664006,37882.36024449945,2020,7,207,5,30,3,1,Monsoon,209.51582628144965,37838.71604421378
2020-07-26,5.384863623744001,37988.37125907591,2020,7,208,6,30,3,1,Monsoon,198.13897368429122,37982.986395452164
2020-07-27,9.334147040064003,41885.89145957095,2020,7,209,0,31,3,0,Monsoon,186.48775975547522,41876.55731253089
2020-07-28,247.917660734304,42020.29207645764,2020,7,210,1,31,3,0,Monsoon,175.25526688707842,41772.37441572334
2020-07-29,529.7984617115521,42272.510876237626,2020,7,211,2,31,3,0,Monsoon,186.14618856820803,41742.712414526075
2020-07-30,162.48425566348803,41600.05111413641,2020,7,212,3,31,3,0,Monsoon,185.5395831668544,41437.56685847292
2020-07-31,533.3936864667841,41858.6099389439,2020,7,213,4,31,3,0,Monsoon,201.33680106957124,41325.21625247711
2020-08-01,499.4728973213761,35913.96867491749,2020,8,214,5,31,3,1,Monsoon,214.86205977857287,35414.49577759611
2020-08-02,675.8738456342401,36464.95182838284,2020,8,215,6,31,3,1,Monsoon,234.00997568118726,35789.0779827486
2020-08-03,659.6357725584002,39347.30130280528,2020,8,216,0,32,3,0,Monsoon,241.02137125788485,38687.66553024688
2020-08-04,362.7551016840961,39803.94976512651,2020,8,217,1,32,3,0,Monsoon,248.9517217468512,39441.19466344242
2020-08-05,611.1074275922882,40023.49723542354,2020,8,218,2,32,3,0,Monsoon,258.01691898438725,39412.389807831256
2020-08-06,615.3499444308482,39968.52941529153,2020,8,219,3,32,3,0,Monsoon,271.3856383931616,39353.17947086068
2020-08-07,610.247247172992,39731.439291529154,2020,8,220,4,32,3,0,Monsoon,288.3037196299392,39121.19204435616
2020-08-08,607.7124555575041,36354.15931215621,2020,8,221,5,32,3,1,Monsoon,303.24177086734085,35746.446856598704
2020-08-09,589.9634242920001,36188.409316831676,2020,8,222,6,32,3,1,Monsoon,314.7290732678401,35598.445892539676
2020-08-10,171.77927586652802,39629.378775577556,2020,8,223,0,33,3,0,Monsoon,308.05077865890246,39457.599499711025
2020-08-11,438.08262860419205,39907.526471397134,2020,8,224,1,33,3,0,Monsoon,298.3811545744129,39469.44384279294
2020-08-12,364.51406650665604,39587.95973267326,2020,8,225,2,33,3,0,Monsoon,299.19379893670083,39223.445666166604
2020-08-13,568.5231375933121,39542.94082673267,2020,8,226,3,33,3,0,Monsoon,313.5796824900961,38974.41768913936
2020-08-14,322.56129585715206,39538.11967491749,2020,8,227,4,33,3,0,Monsoon,314.5053153977857,39215.55837906034
2020-08-15,520.9508294400961,36042.849129262926,2020,8,228,5,33,3,1,Monsoon,323.5066403250529,35521.89829982283
2020-08-16,259.10148760214406,35493.768191694166,2020,8,229,6,33,3,1,Monsoon,325.3185062579233,35234.66670409202
2020-08-17,288.846946526688,39539.202157590764,2020,8,230,0,34,3,0,Monsoon,332.18844974979845,39250.355211064074
2020-08-18,212.99264515267203,39413.225949119915,2020,8,231,1,34,3,0,Monsoon,339.2861218902144,39200.233303967245
2020-08-19,63.46948103654402,39029.063883663366,2020,8,232,2,34,3,0,Monsoon,338.57713605101765,38965.59440262682
2020-08-20,328.9923013037761,38842.43553630362,2020,8,233,3,34,3,0,Monsoon,348.98670178035843,38513.443234999846
2020-08-21,142.08566653670403,39323.00784680968,2020,8,234,4,34,3,0,Monsoon,353.64573498228486,39180.92218027298
2020-08-22,131.11638370617604,35599.702006050604,2020,8,235,5,34,3,1,Monsoon,357.42120170961607,35468.58562234443
2020-08-23,11.508170046912005,35687.68707810781,2020,8,236,6,34,3,1,Monsoon,352.95332358496324,35676.1789080609
2020-08-24,72.635792245632,39114.13170654565,2020,8,237,0,35,3,0,Monsoon,353.9197099836289,39041.49591430002
2020-08-25,212.06266385040007,38631.56609185919,2020,8,238,1,35,3,0,Monsoon,360.8089699911841,38419.503428008786
2020-08-26,141.90528223238402,38459.87693949395,2020,8,239,2,35,3,0,Monsoon,365.22800783092805,38317.971657261565
2020-08-27,245.06915728521602,38551.36286743674,2020,8,240,3,35,3,0,Monsoon,365.13305771595844,38306.29371015153
2020-08-28,22.811294553696005,38758.63110836084,2020,8,241,4,35,3,0,Monsoon,348.2334854773633,38735.81981380714
